Link,Name,Price,Rating,Total Ratings,Image Links,Brand,Brand Link
https://www.daraz.pk/products/tech-tok-tws-true-wireless-earbuds-bluetooth-50-with-active-noise-cancellation-sport-earphones-v50-stereo-headphones-with-power-bank-for-android-iphone-xiaomi-with-in-ear-built-in-mic-black-i218118130-s1429016109.html?search=1,TECH TOK TWS True Wireless Earbuds Bluetooth 5.0 with Active Noise Cancellation Sport Earphones V5.0 Stereo Headphones with Power Bank for Android iPhone Xiaomi with in Ear Built in Mic - Black,1959,4.9,169,"https://laz-img-cdn.alicdn.com/tfs/TB1oP2bbQvoK1RjSZFNXXcxMVXa-300-200.png,https://static-01.daraz.pk/p/1c25e8cf110024c0bf194de93b3bb5fa.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/ff4598b7d6b9fdcd5dad05286b7ff8f5.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/acf45d54d3a20777d1e4faff19a15d91.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/e4dc4fc2c322c93ab9ab76cfd3ad7757.jpg_80x80q80.jpg_.webp",Tech Tok,https://www.daraz.pk/tech-tok-123714626/
https://www.daraz.pk/products/enrg-g4-wired-earphones-sport-in-ear-deep-bass-stereo-earbuds-earphones-handfree-for-all-smartphones-android-ios-black-i166104953-s1334082743.html?search=1,ENRG G4 Wired Earphones Sport In-Ear Deep Bass Stereo Earbuds Earphones Handfree for All Smartphones Android & IOS - Black,299,4.5,256,"https://static-01.daraz.pk/p/59b165bc865f46740bdcbcd4d9fbb904.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/5ba516cd1bd9f5806cda770f26227f18.png_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/6a55616e950eca4b4e97036ae124516d.png_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/c693f4da9e543a7cc2b00effa8973938.png_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/644b3c7aab603149d37e3712e7b0e39a.png_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/c95be96f799ddd73880b5848c4f2b5fa.png_80x80q80.jpg_.webp",,https://www.daraz.pk/energy/
https://www.daraz.pk/products/mtec-earphones-affordable-stereo-handsfree-with-mic-black-i157684833-s1324064717.html?search=1,mTec Earphones Affordable Stereo Handsfree with Mic Black,185,4.3,352,"https://static-01.daraz.pk/p/acc2787f89480e8376c4ffacb544c876.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/cb8b9eedf899540459ffe62edb5727ad.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/903568c0b16ab680cab77f1d47bcbf9b.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/5b14ff44ed7c74f9400c73c7b00fae1c.jpg_80x80q80.jpg_.webp",mTec,https://www.daraz.pk/mtec-123554618/
https://www.daraz.pk/products/gionee-handsfree-handfree-gionee-original-handsfree-deep-bass-sound-for-vivo_-oppo-huawei_-tecno-infinix-realme_-xiaomi-redmi-samsung-earphones-earphone-headphone-headphones-headsets-in-ear-i178666563-s1355824234.html?search=1,"GiONEE 100% Original Imported Handsfree ,HIgh Quality Deep bass sound in ear headphones earphones",290,4.9,376,"https://static-01.daraz.pk/p/d2527e408cd0b49f5fe0d559ba201018.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/08aef4273fd6401a3e119573bf20b216.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/9474dbc68e1cf68b39a5c8c68ea15852.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/5b29404cc680b14fc98eecda2756069a.jpg_80x80q80.jpg_.webp",No Brand,-
https://www.daraz.pk/products/handsfree-100-original-gionee-handsfree-imported-high-quality-deep-bass-sound-earphones-headphones-handfree-i128876279-s1296838253.html?search=1,"Handsfree - 100% Original Gionee Handsfree Imported , High Quality Deep Bass / Sound - Earphones - Headphones - Handfree",300,4.9,802,https://static-01.daraz.pk/p/b6a25d2033b33c3ee343170071aef889.jpg_80x80q80.jpg_.webp,Gionee,https://www.daraz.pk/gionee/
https://www.daraz.pk/products/handsfree-gionee-100-original-handsfree-with-super-solid-bass-high-sensitive-mic-noise-cancellation-best-for-gaming-and-calls-i223188719-s1440339356.html?search=1,Handsfree - Gionee 100% original handsfree with super solid bass - High sensitive Mic- Noise cancellation - Best for gaming and Calls.,270,4.9,89,"https://static-01.daraz.pk/p/a99a0acc2bc9d24471d3137001172dc4.png_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/2c0dd06bdf6c01b20a534da629d3091f.png_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/5ebb31a1cfbd55f19e777905760e9e35.png_80x80q80.jpg_.webp",Gionee,https://www.daraz.pk/gionee/
https://www.daraz.pk/products/original-handfree-blue-spectrum-m5-earphones-with-bass-buy-now-brand-new-handsfree-for-gaming-i205664011-s1409932343.html?search=1,"Original Handfree Blue Spectrum M5, Earphones with Bass, Buy Now Brand new Handsfree for gaming",189,4.8,518,https://static-01.daraz.pk/p/08c68e29c291437da8ef34de0da7d9be.png_80x80q80.jpg_.webp,No Brand,-
https://www.daraz.pk/products/airpod_air-pods_earpods_bluetooth-handsfree-wireless-bluetooth-earphone-handsfree-airpods_android-true-wireless-earbuds-tws-wireless-bluetooth-headset-mic-hand-free-touch-headset-air-pods_airdots_airpods_inpods12-i12i11_i7-tws_typ-i217602084-s1431037322.html?search=1,i7 Wireless Bluetooth Headset with Mic - White,278,4.6,104,"https://static-01.daraz.pk/p/f8cbef2d56fc0f0e177d444c2ad944fc.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/9ae99b900adbaa6504821fc904678ff3.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/ae6fad72157c21477d1afce214ed9805.jpg_80x80q80.jpg_.webp",No Brand,-
https://www.daraz.pk/products/earphones-mobile-handsfree-high-quality-sound-ear-phones-headphones-with-mic-35mm-jack-handfree-i205402651-s1408978718.html?search=1,Earphones Mobile Handsfree High Quality Sound Ear Phones Headphones with mic 3.5mm jack Handfree,164,4.7,202,"https://laz-img-cdn.alicdn.com/tfs/TB1oP2bbQvoK1RjSZFNXXcxMVXa-300-200.png,https://static-01.daraz.pk/p/7b7c1c4579a146786f05cdce010b16c9.jpg_80x80q80.jpg_.webp",No Brand,-
https://www.daraz.pk/products/oppo-handsfree-oppo-original-handsfree-oppo-original-handsfree-for-android-and-iphone-handsfree-i219898776-s1432882322.html?search=1,Oppo Handsfree | Oppo Original Handsfree | Oppo Original Handsfree for Android and IPhone | Handsfree,131,4.5,188,,No Brand,-
